City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Kuytun,RU,54.3419,101.5036,18.84,82,56,12.17,broken clouds
150,Kautokeino,NO,69.0125,23.0412,-3.24,100,100,3.18,overcast clouds
151,Sola,VU,-13.8833,167.55,82.98,72,81,9.28,broken clouds
152,Mar Del Plata,AR,-38.0023,-57.5575,60.87,94,100,10,overcast clouds
153,Airai,TL,-8.9266,125.4092,73.53,59,32,1.83,scattered clouds
154,Sisimiut,GL,66.9395,-53.6735,16.48,72,89,10.74,overcast clouds
155,Beloha,MG,-25.1667,45.05,70.43,96,94,6.55,overcast clouds
156,Kaeo,NZ,-35.1,173.7833,70.38,62,77,4.27,broken clouds
157,Tutoia,BR,-2.7619,-42.2744,76.6,91,87,7.96,light rain
158,Bambanglipuro,ID,-7.95,110.2833,81.79,76,73,4.63,broken clouds
159,Saint-Gilles,FR,43.6766,4.4302,50.14,57,0,5.75,clear sky
160,Say,NE,13.1007,2.3689,90.16,11,9,14.85,clear sky
161,Amboasary,MG,-25.0333,46.3833,72.91,96,23,4.56,few clouds
162,Wenling,CN,28.3669,121.36,56.43,81,100,6.11,overcast clouds
163,Aswan,EG,24.0934,32.907,54.7,28,0,5.75,clear sky
164,Alyangula,AU,-13.8483,136.4192,89.47,55,40,3.44,scattered clouds
165,Olive Branch,US,34.9618,-89.8295,54.37,44,8,6.33,clear sky
166,Namtsy,RU,62.7161,129.6658,16.18,91,99,3.69,overcast clouds
167,Xai-Xai,MZ,-25.0519,33.6442,68.63,94,9,2.08,clear sky
168,Viedma,AR,-40.8135,-62.9967,63.97,24,0,11.72,clear sky
169,Leningradskiy,RU,69.3833,178.4167,4.53,83,5,2.1,clear sky
170,Walvis Bay,NA,-22.9575,14.5053,59.09,82,0,4.47,clear sky
171,Kavieng,PG,-2.5744,150.7967,84,68,100,3.29,overcast clouds
172,Taitung,TW,22.7583,121.1444,73.67,83,75,4.61,broken clouds
173,Hauterive,FR,46.0901,3.4459,47.16,87,6,3.62,clear sky
174,Meru,KE,0.0463,37.6559,60.94,92,85,2.75,light rain
175,Sibu,MY,2.3,111.8167,77.31,94,40,5.01,scattered clouds
176,Nabire,ID,-3.3667,135.4833,86.97,63,98,4.92,overcast clouds
177,Dalvik,IS,65.9702,-18.5286,48.13,81,96,11.32,overcast clouds
178,Norman Wells,CA,65.282,-126.8329,6.84,51,40,2.3,scattered clouds
179,Hearst,CA,49.6835,-83.6665,5.25,91,100,13.13,light snow
180,Pitimbu,BR,-7.4706,-34.8086,77.59,83,99,4.7,moderate rain
181,Kutum,SD,14.2,24.6667,56.84,16,6,11.03,clear sky
182,Kumukh,RU,42.1704,47.1161,17.22,79,100,9.93,overcast clouds
183,Mahajanga,MG,-15.7167,46.3167,78.82,89,40,4.61,thunderstorm
184,Emerald,AU,-23.5333,148.1667,73.54,94,100,9.22,overcast clouds
185,Nikolskoye,RU,59.7035,30.7861,26.87,72,100,15.77,overcast clouds
186,La Palma,US,33.8464,-118.0467,76.91,77,0,11.5,clear sky
187,Anadyr,RU,64.75,177.4833,0.1,78,20,0,fog
188,Santa Maria,BR,-29.6842,-53.8069,65.5,77,40,4.61,scattered clouds
189,Skibbereen,IE,51.55,-9.2667,51.12,81,0,12.33,clear sky
190,Narsaq,GL,60.9167,-46.05,25.02,76,8,5.44,clear sky
191,Victoria,HK,22.2855,114.1577,75.18,78,87,8.99,overcast clouds
192,Hualmay,PE,-11.0964,-77.6139,70.47,80,97,8.32,overcast clouds
193,Olafsvik,IS,64.8945,-23.7142,36.55,70,100,13.11,overcast clouds
194,Saint-Denis,FR,48.9167,2.3333,54.21,58,0,10.36,clear sky
195,Kazachinskoye,RU,57.6953,93.2761,14.7,87,100,10.47,overcast clouds
196,Astaneh-Ye Ashrafiyeh,IR,37.2596,49.9444,46.33,86,100,3.18,overcast clouds
197,Yerbogachen,RU,61.2767,108.0108,23.47,90,100,10.71,light snow
198,Abay,KZ,49.6311,72.8539,34.18,96,93,6.26,light snow
199,Kokopo,PG,-4.352,152.2633,84.04,68,100,7.25,overcast clouds
200,Iqaluit,CA,63.7506,-68.5145,17.33,79,40,8.05,scattered clouds
201,Port Moresby,PG,-9.4431,147.1797,85.42,70,40,11.5,haze
202,Progreso,MX,21.2833,-89.6667,68.95,61,3,9.53,clear sky
203,Karasburg,NA,-28.0167,18.75,69.98,23,0,2.95,clear sky
204,Kaitangata,NZ,-46.2817,169.8464,62.37,64,1,6.42,clear sky
205,Roznava,SK,48.6601,20.5376,51.26,76,91,7,overcast clouds
206,Requena,ES,39.4883,-1.1004,44.53,87,63,6.51,broken clouds
207,Mareeba,AU,-17,145.4333,88.66,57,82,0.78,broken clouds
208,Ballina,AU,-28.8667,153.5667,73.36,90,100,3.44,overcast clouds
209,Mujiayingzi,CN,42.1167,118.7833,37.42,18,0,19.64,clear sky
210,Chokurdakh,RU,70.6333,147.9167,1.72,92,100,10.2,overcast clouds
211,Tucuman,AR,-26.8241,-65.2226,59,88,0,4.61,clear sky
212,Broome,US,42.2506,-75.833,38.7,84,67,5.99,broken clouds
213,Krasnoselkup,RU,65.7,82.4667,1.2,94,50,13.38,scattered clouds
214,Castlecomer,IE,52.8061,-7.2106,42.06,85,2,3.22,clear sky
215,Catia La Mar,VE,10.6038,-67.0303,79,89,40,6.91,scattered clouds
216,Tuatapere,NZ,-46.1333,167.6833,65.59,59,5,5.03,clear sky
217,Port Lincoln,AU,-34.7333,135.8667,78.1,34,100,6.64,overcast clouds
218,Maneadero,MX,31.7167,-116.5667,60.1,81,24,1.99,few clouds
219,Chaman,PK,30.9236,66.4512,66.24,23,0,9.04,clear sky
220,Praya,CV,14.9215,-23.5087,68.54,73,20,8.05,few clouds
221,Burriana,ES,39.889,-0.085,55.71,75,80,6.24,broken clouds
222,Magadan,RU,59.5667,150.8,15.84,65,7,4.21,clear sky
223,Yellowknife,CA,62.456,-114.3525,4.41,79,100,11.5,light snow
224,Kungalv,SE,57.871,11.9805,37.26,70,83,4.5,broken clouds
225,Kemijarvi,FI,66.7131,27.4306,14.34,80,21,9.62,few clouds
226,Georgetown,MY,5.4112,100.3354,85.95,82,20,5.99,few clouds
227,Muros,ES,42.7762,-9.0603,52.09,92,100,5.48,overcast clouds
228,Talsi,LV,57.2456,22.5814,28.98,55,60,10.29,broken clouds
229,Havre-Saint-Pierre,CA,50.2334,-63.5986,30.56,100,100,8.05,overcast clouds
230,Komsomolskiy,UZ,40.4272,71.7189,52.52,54,75,9.22,light rain
231,Arraial Do Cabo,BR,-22.9661,-42.0278,75.87,93,10,5.77,clear sky
232,Roald,NO,62.5833,6.1333,44.1,93,100,19.57,drizzle
233,Pelotas,BR,-31.7719,-52.3425,65.86,85,48,7.02,light rain
234,Paracuru,BR,-3.41,-39.0306,77.11,90,100,5.1,overcast clouds
235,Chengde,CN,40.9725,117.9361,44.04,15,0,15.32,clear sky
236,Mandalgovi,MN,45.7625,106.2708,32.74,18,0,13.35,clear sky
237,Verkhoyansk,RU,67.5447,133.385,7.68,83,64,4.76,broken clouds
238,Grand Baie,MU,-20.0182,57.5802,79.45,82,9,1.99,clear sky
239,Flin Flon,CA,54.7682,-101.865,-1.55,93,56,2.8,broken clouds
240,Maniwaki,CA,46.3834,-75.966,35.98,87,100,5.75,overcast clouds
241,Rudbar,AF,30.15,62.6,65.97,18,0,8.12,clear sky
242,Aketi,CD,2.7388,23.7833,74.07,56,98,0.85,overcast clouds
243,Vostok,RU,46.4856,135.8833,28.78,89,100,15.05,light snow
244,Maryborough,AU,-25.5333,152.7,78.53,73,29,6.93,light rain
245,Goksun,TR,38.021,36.4973,19.31,94,30,6.51,scattered clouds
246,Umm Kaddadah,SD,13.6017,26.6876,62.47,15,4,17.67,clear sky
247,Clyde River,CA,70.4692,-68.5914,-1.97,78,100,10.36,light snow
248,Cururupu,BR,-1.8283,-44.8683,74.7,97,92,2.35,overcast clouds
249,Kahului,US,20.8947,-156.47,75.85,82,78,11.01,broken clouds
250,Dasoguz,TM,41.8363,59.9666,35.55,80,0,9.22,clear sky
251,Kribi,CM,2.95,9.9167,80.29,86,100,5.14,overcast clouds
252,Maragheh,IR,37.3917,46.2398,33.73,83,37,3.91,scattered clouds
253,Caravelas,BR,-17.7125,-39.2481,76.66,89,2,5.44,clear sky
254,Gat,IL,31.61,34.7642,53.4,80,1,4.5,clear sky
255,Wakkanai,JP,45.4094,141.6739,39.18,81,75,28.77,broken clouds
256,Skjervoy,NO,70.0311,20.9714,21.2,70,100,8.99,light snow
257,Talara,PE,-4.5772,-81.2719,73.04,79,99,12.3,overcast clouds
258,Marquette,US,46.5333,-87.6335,20.34,61,90,14.47,overcast clouds
259,Igdir,TR,39.9237,44.045,28.33,60,94,4.63,overcast clouds
260,Husavik,IS,66.0449,-17.3389,37.58,86,100,6.51,overcast clouds
261,Wagar,SD,16.1525,36.2032,65.75,63,6,12.19,clear sky
262,Amga,RU,60.8953,131.9608,21.51,81,93,2.51,overcast clouds
263,Nowshera,PK,34.0058,71.9977,66.88,30,0,3.65,clear sky
264,Ribeira Grande,PT,38.5167,-28.7,61.03,85,56,9.84,broken clouds
265,Arucas,ES,28.1198,-15.5233,59,61,51,6.58,broken clouds
266,Vabalninkas,LT,55.9667,24.75,28.81,57,95,15.1,overcast clouds
267,Bambous Virieux,MU,-20.3428,57.7575,79.21,94,75,0,broken clouds
268,San Cristobal,VE,7.7669,-72.225,77.18,92,100,2.59,overcast clouds
269,Namatanai,PG,-3.6667,152.4333,85.62,66,79,4.56,broken clouds
270,Najran,SA,17.4924,44.1277,65.05,33,1,6.49,clear sky
