City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
556,Araouane,ML,79.7,broken clouds,18.9048,-3.5265,
558,Aquiraz,BR,78.89,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
561,Mamallapuram,IN,82.45,clear sky,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
562,Sao Jose Da Coroa Grande,BR,77.72,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
568,Sao Joao Da Barra,BR,78.08,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
569,Noumea,NC,85.98,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
578,Gold Coast,AU,81.0,broken clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
579,Robertsport,LR,77.59,moderate rain,6.7533,-11.3686,Kwepunha Retreat
581,Thinadhoo,MV,81.52,clear sky,0.5333,72.9333,
585,Kalmunai,LK,79.41,clear sky,7.4167,81.8167,VS Villa
587,Lufilufi,WS,78.58,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
591,Mackay,AU,78.67,broken clouds,-21.15,149.2,International Lodge Motel
610,Ponorogo,ID,82.65,overcast clouds,-7.8685,111.462,OYO 1190 Ndalem Katong Residence
620,Bhag,PK,79.97,clear sky,29.0415,67.8239,Bukhari hotl
622,Naco,MX,80.69,overcast clouds,31.3347,-109.9483,Motel Colonial
623,Ilheus,BR,82.22,scattered clouds,-14.7889,-39.0494,Barravento Hotel
624,Tevaitoa,PF,82.4,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
625,Sabang,ID,82.4,few clouds,5.8933,95.3214,Hotel Citra
629,Yulara,AU,82.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
633,Quatre Cocos,MU,79.09,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
635,Cap Malheureux,MU,79.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
637,Chateaubelair,VC,77.18,overcast clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
639,Luwuk,ID,85.96,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
641,Manga,BF,86.49,scattered clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
644,Ahmadpur,IN,85.35,scattered clouds,18.7,76.9333,Hengane (Pitashri Niwas)
653,Yaan,NG,80.06,overcast clouds,7.3833,8.5667,
669,Kerema,PG,84.79,overcast clouds,-7.9631,145.7785,Frena Lodge
670,Alugan,PH,82.87,overcast clouds,12.2188,125.4808,JM Lodge
673,Soc Trang,VN,89.13,clear sky,9.6033,105.98,Phu Quy Hotel
674,Buluang,PH,87.78,overcast clouds,13.3068,123.3425,Enon Beach Resort
675,Kimbe,PG,83.25,light rain,-5.5502,150.1429,Kimbe Bay Hotel
682,Morant Bay,JM,80.22,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
688,Weligama,LK,78.75,clear sky,5.9667,80.4167,Weligama Bay Resort
689,Moerai,PF,81.27,overcast clouds,-22.4333,-151.3333,Le Manotel
691,Wajid,SO,75.88,clear sky,3.8093,43.2471,xamdihotelresturant114
695,Atambua,ID,82.04,few clouds,-9.1061,124.8925,Kost Alfa Flat
